matchNum,num1red,num1blue,num2red,num2blue,num3red,num3blue,redAmps,blueAmps,info
29,2,3,1,1,2,2,0,0,"Red 1	4610 moved well
Red 2	9137 disable mechanical promblem
Red 3	3743 difficult time at station
Blue 1	9054 climbed
Blue 2	5894 tech foul auto disabled
Blue 3	5103 clunker and issue with speed"
30,1,2,1,2,3,1,0,0,"Red 1	9140 slow and no auto
Red 2	7138 auto broken
Red 3	5503 climb good
Blue 1	3561 okay but climb not work
Blue 2	5892 okay defense intake problem
Blue 3	8598 weak shooting not even close to speaker"
31,2,1,1,2,1,1,0,0,"Red 1	2789 unable to do much pretty slow
Red 2	4597 NO SHOW
Red 3	9664 NO SHOW
Blue 1	3679 disable mech problem
Blue 2	8114 missed all autos 
Blue 3	4364 intake problem and drive problem"
32,3,1,2,3,2,2,0,0,"Red 1	3802 good scoring and hang
Red 2	5052 ok slow cycles
Red 3	9506 ok passing but climb is poor
Blue 1	4332 NO SHOW
Blue 2	8749 missed long shots tech fouls
Blue 3	8507 clunky but good"
33,1,2,2,1,2,2,0,0,"Red 1	8610 clunky
Red 2	9448 drive/bumper issue
Red 3	2583 good cycles ~ 10-15 sec
Blue 1	6369 shooting was inaccurate but drive was good
Blue 2	6357 had a note stuck and stuck on chain
Blue 3	8625 clunky"
34,3,2,3,2,3,1,0,0,"Red 1	5414 lot of score 
Red 2	9418 good cycles 
Red 3	3847 very fast and good cycle
Blue 1	4717 okay routing
Blue 2	8019 okay with what they had
Blue 3	9524 disabled"
35,1,1,2,2,1,3,0,0,"Red 1	8879 missing shots
Red 2	6155 okay
Red 3	418 outake broken
Blue 1	5726 clunky driving
Blue 2	8827 okay driving
Blue 3	9121 smooth driving"
36,1,1,2,2,1,1,0,0,"Red 1	9664 big mechanical problem(Card)penalties 
Red 2	5892 2 tech auto fouls but smooth 
Red 3	3743 NOT SHOW
Blue 1	8598 half park
Blue 2	8114 park
Blue 3	9137 hard damage"
37,1,3,2,1,3,2,0,0,"Red 1: 8749
Red 2: 3802
Red 3: 4597
Blue 1: 2789
Blue 2: 3679
Blue 3: 5052

Both scored 9 on auto 
2789 seems to have some serious troubles possibly with balance.
8749 is able to make full rotations but is slow
2789 has a short shot and cant seem to score speaker
8749 can score amp it looks like
3802 can climb"
38,1,1,1,1,1,1,0,0,
38,2,3,1,2,3,1,0,1," Red 1: 6357 
 Red 2: 9140
 Red 3: 4610
-------
Blue 1: 2583
Blue 2: 9506
Blue 3: 4332

Notes: 9506 can shoot
4610 is unstable physically
9140 Has a good shooting on speaker
2583 makes a weird clicking... sounds broken
4610 has a long and weak speaker shot
2553 was able to climb"
39,3,1,2,3,1,2,1,0," Red 1: 5103 
 Red 2: 8625
 Red 3: 3847
-------
Blue 1: 5414
Blue 2: 6369
Blue 3: 4717

Notes: 
3847 got 2 in auto
5414 can score speaker from kinda far away
6369 seems broken. Moving very slowly
3847 is going for the amp alot and is very good at evading defense from other team. Has great movement
5414 trying to block 3847
No spotlights scored
"
39,1,1,1,1,1,1,0,0,"DID NOT GET TEAM NUMBERS. CHECK OTHER SITE FOR BOTS

Notes: All blue team autos are not good. 9418 scored a note during auto.
9418 has good, accurate and fast speaker shots
6155 has trouble with getting notes
9448 is disabled
9054 is playing defense not very well. It is a kit bot
6155 is attacking the disabled robot trying to get it to foul.
7138 tried to climb but couldn't get both arms on the chain
9418 successfully climbed"
41,1,1,3,2,2,3,1,0," Red 1: 9121 
 Red 2: 8879
 Red 3: 3561
-------
Blue 1: 8610
Blue 2: 8507
Blue 3: 8019

Notes: All good autos from red alliance. They all scored at least one note.
8019 is too fast to effectively pick up notes well
9121 is a little unbalanced but overall good
8019 just sits in the center of the stage for no reason
8610 is playing defense
8879 got a note stuck ontop; couldnt do anthing else
Red made two spotlights on the same pole
3561 and 8879 made a climb
9121 tried to get on the same chain as 3561 but wasnt able to."
42,1,1,3,3,2,2,0,0," Red 1: 5894
 Red 2: 4364
 Red 3: 5726
-------
Blue 1: 418 THE GOOOOAT
Blue 2: 5503
Blue 3: 9524

Notes: 
418 has auto working!!!!!
5894 has a balance issue
9524 takes forever to get a note from human player
418 is getting attacked from red team
Red made a spotlight but not blue
5894 got climb with spotlight"
43,2,3,1,1,2,2,0,0," Red 1:5052 okay
 Red 2:4610 slow cycles and poor shooter
 Red 3:8598 clunky 
-------
Blue 1: 3679 very good 
Blue 2: 9137 disabled 
Blue 3: 3802 had people playing good d on them 

Notes: "
44,2,2,2,3,2,1,0,1," Red 1: 8749 park and okay 
 Red 2: 3847 disabled for most of match
 Red 3: 8114 okay clunky driving defense okay
-------
Blue 1: 8625 okay
Blue 2: 5414 very fast 
Blue 3: 9140 disabled mech issue

Notes: "
,2,2,1,1,3,1,0,1,"Blue 1 - 6165
Blue 2 - 4332
Blue 3- 4717
Red 1- 9054
Red 2- 9664
Red 3- 6357

6357 okay auto, but really aggresive driving and shooting. 9054 is an alphabot and has okay driving.  9669 has not good driving and not good shooting. 6155 has good drive but not very good at shooting. 4717 has swerve but also not good at driving and not good at shooting.

"
,2,2,2,1,2,2,0,0,"8879 having good mobilization and good shooter, 9418 also good intake but shooter is too far and a little janky. 7138 is a alpha with not good mobilization and not much shooting potential. 8879 has good mobility with a good shooter, and 5103 is an alpha not much mobility and not that good of a shooter. 6369 has good intake and shooter but note was stuck in their chassis so they couldn't do much."
,2,2,1,1,2,2,0,0," Red 1: 5506 park and okay 
 Red 2: 9524 troubled getting notes from station 
 Red 3: 5726 kept hitting teammate
-------
Blue 1: 3743 troubled getting notes
Blue 2: 2583 disabled
Blue 3: 9121 okay

Notes: "
48,2,2,2,1,1,3,0,0," Red 1: 4364 stuck on chain
 Red 2: 8827 okay movement and almost climbed
 Red 3: 2789 bad movement having trouble
-------
Blue 1: 8507 missing and okay at recieving
Blue 2:9448 disabled
Blue 3: 5892 very good clean cycle and climb

Notes: "
49,2,3,3,2,1,2,0,1," Red 1: 5894 okay with movement okay recieving notes
 Red 2: 418 good with notes and speaker
 Red 3: 8610 got penalties and defense mostly
-------
Blue 1: 5503 good
Blue 2: 3561 climb
Blue 3: 8019 missed a few

Notes: "
50,3,1,2,3,1,2,0,0," Red 1: 3847 very good 
 Red 2: 4717 hard time picking notes up
 Red 3: 9137 no auto disabled
-------
Blue 1: 8114 disabled
Blue 2: 6357 good defense
Blue 3: 4332 okay movement and little scoring

Notes: "
51,1,2,1,1,3,2,0,0," Red 1: 6155 pushed notes
 Red 2: 5052 clunky movement  disabled
 Red 3: 5414 very good shooter
-------
Blue 1: 8598 okay
Blue 2: 9140 some issue with shooter(its loud and keeps breaking)
Blue 3: 8879 okay

Notes: "
52,1,1,1,2,2,1,0,1," Red 1: 8625 disabled for a bit
 Red 2: 9054 slow and problem with movement
 Red 3: 9121 good at amp disabled for last 45 sec
-------
Blue 1: 4597 NO SHOW
Blue 2: 9506 okay at speaker
Blue 3: 4610 low power speaker, kit bot

Notes: "
53,2,1,2,1,3,1,0,0," Red 1: 8507 okay
 Red 2: 3679 smooth 
 Red 3: 6369 good cycle
-------
Blue 1: 9524 trouble moving
Blue 2: 3743 missed speaker too low
Blue 3: 4364 okay no def disabled

Notes: "
