Maddie D,11,9448,0,0,0,0,0,1,0,park,0,none,poor,human,none,My robot was stuck on a lot of notes and couldn't shoot. Maybe foul?,n,n
Maddie D,12,3679,y,0,0,0,5,0,0,0,none,0,none,poor,ground,none,Chunky driving but extremely accurate speaker shots.,n
maryam a.,12,5892,y,0,1,1,3,0,4,0,single,0,average,poor,ground,none,"drove really really fast and that might be why they bumped a few tiny times. strong robot tho, was not affected by hits from bumps",n
Naina J,12,9121,y,0,0,0,1,0,2,0,none,0,none,average,both,none,1 Ranking Point (18/18 pts),n
NimahA,12,5894,0,0,0,0,0,3,0,park,0,average,poor,both,none,They dropped a lot of notes. They had an awkward driver. Did not score any points. ,n,n
henryh,12,5414,y,0,0,5,6,0,1,0,none,0,poor,average,ground,none,"Seems like a pretty good robot. I would've put ""smooth and skilled driver,"" but it did run into a few things. It can shoot really fast and powerful, and scored plenty of both speaker and amp notes.",n
MAXB,12,8019,0,1,0,3,1,1,0,none,0,none,excellent,ground,none,was decently fast and the driver woeked well. their intake didn't work well and required it to either squish the note agaist the wall or drive rreally fast over it. Its shooter worked well and only missed at the very end because they were rushing to finish and didn't line up well.,n,n
Maddie D,13,4597,0,0,0,0,0,0,0,none,0,none,none,none,none,Did not show up.,n,n
MAXB,13,6155,y,0,0,0,0,0,1,0,none,0,poor,average,none,none,note stuck in intake and didn't really defend well,n
Naina J,13,6357,y,0,0,0,3,0,3,0,none,0,none,average,both,none,"Could take notes near speaker to shoot. After missing the speaker, the note was near them. So it was quick cycles",n
henryh,13,3802,y,0,0,0,0,0,0,6,single,0,poor,average,human,none,"Didn't attempt to shoot any, just went back and forth dropping off notes from the human intake. It also climbed pretty well at the end; the center of gravity was balanced well.",n
maryam a.,13,7138,y,0,0,0,0,0,2,0,park,0,poor,average,human,none,could not tell if mine scored the speaker or not because people shouted when it threw it but i didnt notice anything,n
NimahA,13,3847,y,0,4,1,9,0,1,0,park,0,average,excellent,both,none,Really fast and efficient team. Got a lot of points and were very fast. They also were super close to getting the trap point out of all the other teams I have seen. I dont know if they got a spotlight,n
Maddie D,14,6369,y,0,1,0,5,0,2,0,none,0,none,average,ground,none,"Okay mobility, glitched at end.",n
NimahA,14,9506,y,0,0,0,0,0,1,0,park,0,none,poor,none,none,No intake used. They missed the only note they picked up when shooting for the speaker. Not a lot of control over robot -- robot kept moving in circles,n
Naina J,14,5052,0,0,0,0,0,1,0,park,0,none,none,none,none,"COULD move, but didn't move much. just parked in a corner. ",n,n
henryh,14,9664,0,0,0,2,0,1,0,none,0,poor,average,human,none,"Very slow robot, and because it had no ground intake every time it missed a shot it would have to go all the way back over to the human intake. It also had issues with getting up against the human intake close enough for the ring to go in; 3 notes dropped between the bot and the human intake.",n,n
henryh,14,9664,0,0,0,2,0,1,0,none,0,poor,average,human,none,"Very slow robot, and because it had no ground intake every time it missed a shot it would have to go all the way back over to the human intake. It also had issues with getting up against the human intake close enough for the ring to go in; 3 notes dropped between the bot and the human intake.",n,n
maryam a.,14,8827,0,0,0,0,0,2,0,none,0,none,poor,ground,none,"robot was shaking weirdly sometimes when moving, i did not see it pick anything up but it somehow had something to throw towards the end and missed, there were over 3 fouls but i couldnt tell what they were or whos robot it was for. robot could not move very well",n,n
MAXB,14,3561,y,0,0,2,2,0,1,0,single,0,none,average,ground,some,ground intake was quick but sometimes the not would fall out of the robot once it was loaded in. also got a foul for holding two notes during the autonomous portion of the match. had trouble lining up with the speaker and missed some shots.,n
Naina J,15,9140,0,0,0,0,0,0,0,none,0,none,none,none,none,Not there.,n,n
